,temperature,dew-point,humidity,cloudCover,pressure,windSpeed,temperature-1,dew-point-1,humidity-1,cloudCover-1,pressure-1,windSpeed-1,Vreme,"('broj_traka', '1')","('broj_traka', '3')","('broj_traka', '4')","('broj_traka', '5')","('broj_traka', '6')","('broj_traka', '7')","('broj_ljudi', '1')","('broj_ljudi', '3')","('broj_ljudi', '4')","('broj_ljudi', '5')","('broj_ljudi', '6')","('broj_ljudi', '7')","('brzina_sred', '1')","('brzina_sred', '3')","('brzina_sred', '4')","('brzina_sred', '5')","('brzina_sred', '6')","('brzina_sred', '7')","('brzina_median', '1')","('brzina_median', '3')","('brzina_median', '4')","('brzina_median', '5')","('brzina_median', '6')","('brzina_median', '7')","('brzina_10', '1')","('brzina_10', '3')","('brzina_10', '4')","('brzina_10', '5')","('brzina_10', '6')","('brzina_10', '7')","('brzina_25', '1')","('brzina_25', '3')","('brzina_25', '4')","('brzina_25', '5')","('brzina_25', '6')","('brzina_25', '7')","('brzina_75', '1')","('brzina_75', '3')","('brzina_75', '4')","('brzina_75', '5')","('brzina_75', '6')","('brzina_75', '7')","('brzina_90', '1')","('brzina_90', '3')","('brzina_90', '4')","('brzina_90', '5')","('brzina_90', '6')","('brzina_90', '7')","('brzina_100', '1')","('brzina_100', '3')","('brzina_100', '4')","('brzina_100', '5')","('brzina_100', '6')","('brzina_100', '7')","('labels', '1')","('labels', '3')","('labels', '4')","('labels', '5')","('labels', '6')","('labels', '7')","('brlabels', '1')","('brlabels', '3')","('brlabels', '4')","('brlabels', '5')","('brlabels', '6')","('brlabels', '7')"
2017-01-12 10:30:00,-5.49,-7.96,0.83,1.0,1018.38,3.38,-8.39,-10.97,0.82,0.83,1018.87,3.36,630,6.0,2.0,3.0,4.0,4.0,2.0,89.0,18.0,46.0,62.0,101.0,23.0,119.46640386883541,81.14735524806959,96.29155434145154,90.77577942233548,100.26070687803256,84.25024574706158,117.91528878822196,82.9041791462051,96.50381891883654,97.50364372469636,100.68607594936708,83.96018957345972,89.64293710767386,38.74896602972796,75.23808925396922,62.82852431131763,79.542,66.23949311639551,95.80088328075709,65.1792166922304,84.32361956377788,75.14365622563159,88.87374301675978,72.71090823339173,131.58093587521662,103.69530647886116,108.55844821844822,105.09136651434584,108.71343963553531,97.81012393336043,146.3582363564879,110.43971858010872,114.62872016478381,112.71482059282373,120.2146095717884,107.84772226593232,268.03076923076924,147.68394793926245,143.1706563706564,134.79514925373135,142.88982035928143,117.06343612334801,1.0,1.0,1.0,1.0,1.0,1.0,124.12141420839387,94.2248650107728,95.79018015386771,95.80720172222536,95.75274590601906,90.0174395665754
2017-01-12 10:40:00,-5.49,-7.96,0.83,1.0,1018.38,3.38,-8.39,-10.97,0.82,0.83,1018.87,3.36,640,6.0,2.0,3.0,4.0,4.0,2.0,99.0,31.0,44.0,55.0,112.0,17.0,117.66740269901732,89.5726420697655,97.00957804838873,91.13952298901361,101.52023817397207,81.42343541018238,115.2519165085389,95.31998599929994,98.13344809904036,97.76752368064953,101.86913390131667,81.89029275808936,88.83089980497877,61.696692342546434,74.56307484549602,63.88933614069853,80.52186686483552,68.45671464330412,96.58076203525758,75.39044434619211,83.58919132094539,77.48119876624989,88.13540507143513,73.40718232044199,130.8439708634055,108.79471902021699,110.1831334154734,105.59048126057914,112.99251268964355,96.28043478260871,143.49873634628253,122.40747404844291,114.22509641467153,112.60442633627676,122.37230769230769,100.59765946413138,268.03076923076924,147.68394793926245,143.1706563706564,123.50461538461539,143.3189189189189,107.15080645161288,1.0,1.0,1.0,1.0,1.0,1.0,128.76103541261048,92.3452783327866,95.4986827349002,97.839835463156,94.64032815497694,89.40664926435849
2017-01-12 10:50:00,-5.49,-7.96,0.83,1.0,1018.38,3.38,-8.39,-10.97,0.82,0.83,1018.87,3.36,650,6.0,2.0,3.0,3.0,4.0,2.0,86.0,42.0,39.0,49.0,94.0,13.0,127.13754819136275,94.42717947376839,92.72415913058897,90.02515572653543,98.24838504294983,89.72364840045913,119.39811023797311,95.47656788988606,91.29552728764875,94.32692307692308,100.89939390688693,94.905,89.18769018530378,66.21500866980432,72.11712913468108,58.72846173681345,77.1638756884343,74.05866081969978,97.14289691572182,76.22579864684373,81.40687753931877,73.41489698890649,85.18600138002415,81.7643076923077,136.535376646997,115.23150179497406,105.37004329004328,108.24000000000001,111.70333285911269,96.9832116788321,158.01093713454088,127.64158464359562,113.7461313737152,114.80994808982211,121.28795430010796,99.15585046728972,475.1454545454546,147.68394793926245,138.70773067331672,143.63856858846916,143.3189189189189,102.20538461538463,1.0,1.0,1.0,1.0,1.0,1.0,123.68454082347588,80.2600335100534,95.63097509093497,96.81490837323301,95.31563029499324,89.37056277491871
2017-01-12 11:00:00,2.74,-1.38,0.74,0.75,1021.68,0.21,-6.36,-9.99,0.75,0.6,1022.21,4.09,660,7.0,2.0,3.0,4.0,4.0,2.0,95.0,39.0,41.0,50.0,112.0,14.0,124.12141420839387,94.2248650107728,95.79018015386771,95.80720172222536,95.75274590601906,90.0174395665754,119.51546635182997,95.31998599929994,94.07334137515079,99.72339712449526,97.85201238390091,94.5864259927798,88.3242186901872,69.27031190537805,72.61340782122905,72.79258537220763,71.28186923076923,73.41877010080576,97.55888692033872,77.77448458730325,82.09859778597786,83.86566813252038,84.06067669172931,77.22575372767491,134.61023359786282,114.67604706820902,112.99502285424073,108.72885257245198,110.92536103822886,98.06080291970802,152.7820950865327,126.15408559946938,118.91352218065204,119.08907645259939,119.5970598586579,103.46545100105374,475.1454545454546,138.8018348623853,127.13554285714285,143.63856858846916,143.3189189189189,109.80743801652892,1.0,1.0,1.0,1.0,1.0,1.0,124.47388186546355,77.02804564684267,92.21373222607974,95.83856939517479,95.58208267928173,89.95158247678162
2017-01-12 11:10:00,2.74,-1.38,0.74,0.75,1021.68,0.21,-6.36,-9.99,0.75,0.6,1022.21,4.09,670,6.0,2.0,3.0,4.0,4.0,2.0,81.0,33.0,43.0,67.0,117.0,20.0,128.76103541261048,92.3452783327866,95.4986827349002,97.839835463156,94.64032815497694,89.40664926435849,122.90117361392147,88.46283737024221,94.07334137515079,99.17666437886068,97.19999999999999,91.65966101694916,87.06674311926604,71.76797565946889,78.84089144735348,75.96479391718327,78.05893135650331,73.50054274856812,101.50026737967913,79.16546511627905,83.438486564029,83.24153503905026,83.72842105263157,78.9884898361239,142.2094570928196,111.2455882352941,110.88340163873346,111.80291349895242,108.2204081632653,97.07202414373947,160.34255543822593,121.22075099910474,118.36707884112738,119.6828504655226,115.61341281091791,104.49566921176734,475.1454545454546,138.8018348623853,127.13554285714285,143.63856858846916,131.11318681318681,109.80743801652892,1.0,1.0,1.0,1.0,1.0,1.0,130.12689372632903,73.90628172104414,93.69090930998424,92.25452710954477,96.62193445453012,85.93968869467291
2017-01-12 11:20:00,2.74,-1.38,0.74,0.75,1021.68,0.21,-6.36,-9.99,0.75,0.6,1022.21,4.09,680,8.0,2.0,3.0,4.0,4.0,2.0,91.0,23.0,53.0,69.0,130.0,22.0,123.68454082347588,80.2600335100534,95.63097509093497,96.81490837323301,95.31563029499324,89.37056277491871,118.67479484173504,85.39642521166509,92.5924198250729,98.8374829001368,94.9755223880597,92.83354590903548,85.3058426966292,27.152130684182985,79.42137404922562,73.96594306816432,78.32339557739557,70.32876634214186,98.58388600950289,77.12702217641015,83.7993220338983,80.54187192118226,82.80329230978445,77.6047498681918,135.24522448344948,94.2668135186775,109.76181549087319,110.89823484267076,108.40487476808904,98.01317361012369,153.3781818181818,111.09214604462473,118.69979733635837,120.78163466745055,117.26093366093365,104.55826448063854,489.99375000000003,118.7136878814298,127.13554285714285,143.63856858846916,136.35771428571428,109.80743801652892,1.0,1.0,1.0,1.0,1.0,1.0,125.47586861817256,84.72826052741767,98.41803094811978,94.49786885558171,98.76345935770141,82.19783281230723
2017-01-12 11:30:00,2.74,-1.38,0.74,0.75,1021.68,0.21,-6.36,-9.99,0.75,0.6,1022.21,4.09,690,7.0,2.0,3.0,4.0,4.0,2.0,101.0,23.0,53.0,72.0,109.0,17.0,124.47388186546355,77.02804564684267,92.21373222607974,95.83856939517479,95.58208267928173,89.95158247678162,118.62843749999998,84.31244582043342,88.28857142857143,96.75296000071731,96.60971659919026,95.58776978417266,81.22193099759292,20.323661729957674,78.01867366054704,75.14865572572752,79.04148237211308,71.53495081967213,94.78426966292133,66.54563147730055,82.09136842105264,82.65132911392406,83.29005235602094,79.68035982008995,134.7332741792369,97.9415960584239,101.9648029330889,108.44533334994158,106.76778523489934,97.33846153846153,155.63408071748879,112.30824688496088,112.37951943076163,119.03872696632095,116.3479531555444,101.34056058291222,489.99375000000003,118.7136878814298,135.6629268292683,143.63856858846916,136.35771428571428,108.90737704918031,1.0,1.0,1.0,1.0,1.0,1.0,127.35975120614377,89.23102955622595,98.12507158650398,90.25821479979768,101.99589190141685,84.80823508491142
2017-01-12 11:40:00,2.74,-1.38,0.74,0.75,1021.68,0.21,-6.36,-9.99,0.75,0.6,1022.21,4.09,700,7.0,2.0,3.0,4.0,4.0,2.0,110.0,18.0,52.0,65.0,99.0,16.0,130.12689372632903,73.90628172104414,93.69090930998424,92.25452710954477,96.62193445453012,85.93968869467291,120.01138583540383,81.24759905700571,89.70513293565382,93.58834196891193,98.4024742268041,94.1502965599051,83.64276709292504,22.05501572551823,76.78666428711267,70.79915565031982,79.50281141492532,71.26745901639345,95.33593122889344,58.5935802810742,81.96621417706115,81.18,85.60635963501113,83.81033653846153,136.93741928195558,100.65386821016202,107.31494983641853,105.47474452554746,108.77541993179274,96.25034674663226,163.31841360235146,110.09151739452258,117.68460879022456,112.16204904880863,116.31917746630246,100.28983422581749,489.99375000000003,118.14121996303142,135.6629268292683,131.4835304822566,136.35771428571428,104.61968503937007,1.0,1.0,1.0,1.0,1.0,1.0,127.78771944011045,87.65041758176564,97.7958462074175,94.52605817408028,100.35828504652729,91.45408773306275
2017-01-12 11:50:00,2.74,-1.38,0.74,0.75,1021.68,0.21,-6.36,-9.99,0.75,0.6,1022.21,4.09,710,7.0,2.0,3.0,4.0,4.0,2.0,99.0,22.0,39.0,63.0,104.0,13.0,125.47586861817256,84.72826052741767,98.41803094811978,94.49786885558171,98.76345935770141,82.19783281230723,120.32044374009507,87.20116167859172,94.03516483516484,95.31688654353563,103.18974222321953,87.99139072847682,80.99586899512964,39.35459312785787,76.32578147332225,75.55904484241243,79.88207341884122,72.68470365699874,97.27415812783784,72.36239673212307,84.85401691926975,83.69398316151634,90.26193178025497,73.50871369294606,137.0508269794721,107.3861301866718,110.47205090958576,107.92393775100402,110.475,94.56725978647687,151.07936760804267,117.53545747775762,120.2138612785745,112.52649327440433,117.5214050970929,98.14625284159291,364.646511627907,119.54749780509218,150.87505938242282,134.5441340782123,131.8375690607735,101.42519083969466,1.0,1.0,1.0,1.0,1.0,1.0,133.03072601109292,89.25604519728468,94.82799444739895,93.68851954639383,99.85510268279343,91.87616032049809
2017-01-12 12:00:00,3.91,-1.47,0.68,0.75,1021.41,0.25,-4.88,-9.5,0.7,0.0,1021.95,3.79,720,7.0,2.0,3.0,4.0,4.0,2.0,92.0,26.0,38.0,61.0,102.0,12.0,127.35975120614377,89.23102955622595,98.12507158650398,90.25821479979768,101.99589190141685,84.80823508491142,122.11493678843331,97.52797878820911,103.46114610449604,88.85869565217392,104.60346074119622,90.05011477498364,88.98026906843532,49.19588495575221,70.89903000218729,66.55862068965517,80.46781700642097,73.05433290775615,102.46677750514348,82.55721302839501,83.84257581065626,76.49571201694017,90.56039682360739,81.64717842323651,141.3494273689691,106.78744862223087,112.45432318040963,107.51517857142858,112.49322253052163,98.97086587861827,163.98557856923313,117.33324593801095,120.35119623053022,113.95930599369086,121.17693745019028,101.23525602538811,333.6127659574468,131.43301158301156,150.87505938242282,134.5441340782123,162.60715502555365,112.3610993657505,1.0,1.0,1.0,1.0,1.0,1.0,132.9690758260598,86.53835304643161,96.29573982838458,96.43754741848682,99.47872124600333,91.91798065820488
2017-01-12 12:10:00,3.91,-1.47,0.68,0.75,1021.41,0.25,-4.88,-9.5,0.7,0.0,1021.95,3.79,730,7.0,2.0,3.0,4.0,4.0,2.0,96.0,25.0,39.0,57.0,113.0,11.0,127.78771944011045,87.65041758176564,97.7958462074175,94.52605817408028,100.35828504652729,91.45408773306275,123.12665838789792,98.3137906137184,102.52866359447005,96.10954356846472,100.89894291754754,88.28372093023256,93.64512456441818,38.3437767153616,75.29416112531968,70.68033450340698,76.19311536946498,73.50871369294606,106.6135959491425,82.53793747083527,85.29579260153714,80.41202003338898,88.95657036346691,83.50721617418351,139.13852154366597,107.42769230769228,109.8164201663475,107.03733333333334,113.63142857142857,99.15585815128858,162.1488813524543,115.8073353320869,119.86875465109243,117.17782214643944,121.65513990094132,112.3610993657505,340.8652173913043,131.43301158301156,150.87505938242282,134.5441340782123,162.60715502555365,116.04104803493449,1.0,1.0,1.0,1.0,1.0,1.0,126.23929845581056,88.29082777580577,93.42379100768788,94.75924891372607,101.32681730095625,91.36672651715953
2017-01-12 12:20:00,3.91,-1.47,0.68,0.75,1021.41,0.25,-4.88,-9.5,0.7,0.0,1021.95,3.79,740,7.0,2.0,3.0,4.0,4.0,2.0,102.0,27.0,47.0,56.0,105.0,13.0,133.03072601109292,89.25604519728468,94.82799444739895,93.68851954639383,99.85510268279343,91.87616032049809,124.41182249408908,93.10182083029862,97.87118644067797,95.33978655408733,100.36845425867506,89.1724832214765,93.98111682759705,60.21283395160654,75.4901889008515,65.28577857442022,74.83975652381459,75.1756312972596,105.99045119164057,79.43072796395381,84.89538826527405,75.95304549505725,85.99135135135134,86.13743922204213,141.7343590641316,105.651654836421,107.76546100911023,107.15679464285715,111.63789473684211,99.52584269662921,166.8458161859664,114.19041280259972,115.73814613688754,117.91140273662484,123.1960073696183,111.19020213789098,391.995,131.43301158301156,126.55699658703071,166.85958429561202,162.60715502555365,116.04104803493449,1.0,1.0,1.0,1.0,1.0,1.0,119.60370256002743,85.43441234349076,91.98738949445185,97.15511219610381,102.77899894603156,89.29637171800692
2017-01-12 12:30:00,3.91,-1.47,0.68,0.75,1021.41,0.25,-4.88,-9.5,0.7,0.0,1021.95,3.79,750,7.0,2.0,3.0,4.0,4.0,2.0,92.0,22.0,48.0,58.0,112.0,16.0,132.9690758260598,86.53835304643161,96.29573982838458,96.43754741848682,99.47872124600333,91.91798065820488,125.47991960042216,84.89183622385124,97.02690910350506,100.25959366185658,100.31573973437955,89.24741808132649,96.51025673305728,59.73816553476328,77.9783519150862,71.17860481142714,76.5011218721038,76.67314624013295,105.40941209393938,73.60251827420218,87.5618391655226,83.35476484711532,87.9564686613791,85.26668750362336,141.41506375379424,104.40632906380354,105.98180804143803,107.03733333333334,112.69279822051328,98.88424528301886,155.41903787103374,120.61616000190357,118.76121131270008,117.8921597496421,121.9357306484509,111.27383063069368,391.995,125.55518672199167,130.6442748091603,166.85958429561202,158.55548172757474,119.97020316027088,1.0,1.0,1.0,1.0,1.0,1.0,123.21669552597307,82.42958796735675,91.27950229558346,95.5149774122288,102.17614388938046,87.27015226223475
